theme,                         url,                                                                               img,                                                                                                              lines,                                                                                  author
LEADERSHIP,/inspirational-quotes/8219-before-you-are-a-leader-success-is-all-about,https://assets.passiton.com/quotes/quote_artwork/8219/medium/202200603_friday_quote.jpg?1652396482,"Before you are a leader, success is all about growing yourself. When you become a leader, success is all about growing others.",<Author:0x00007fbd21dfc740>
LEADERSHIP,/inspirational-quotes/7732-leadership-is-unlocking-peoples-potential-to,https://assets.passiton.com/quotes/quote_artwork/7732/medium/202200602_thursday_quote.jpg?1652396464,Leadership is unlocking people's potential to become better.,<Author:0x00007fbd21e416d8>
LEADERSHIP,/inspirational-quotes/8221-if-your-actions-create-a-legacy-that-inspires,https://assets.passiton.com/quotes/quote_artwork/8221/medium/202200601_wednesday_quote.jpg?1652396446,"If your actions create a legacy that inspires others to dream more, learn more, do more and become more, then, you are an excellent leader.",<Author:0x00007fbd21e92128>
LEADERSHIP,/inspirational-quotes/7789-great-things-can-be-achieved-by-leading-through,https://assets.passiton.com/quotes/quote_artwork/7789/medium/20220531_tuesday_quote.jpg?1652396429,"Great things can be achieved by leading through wisdom, empathy, and integrity�with no other agenda than humanity.",<Author:0x00007fbd21ed3038>
LEADERSHIP,/inspirational-quotes/6193-do-not-follow-where-the-path-may-lead-go,https://assets.passiton.com/quotes/quote_artwork/6193/medium/20220530_monday_quote.jpg?1652396407,Do not follow where the path may lead. Go instead where there is no path and leave a trail.,<Author:0x00007fbd21f17058>
FRIENDSHIP,/inspirational-quotes/8330-i-would-rather-walk-with-a-friend-in-the-dark,https://assets.passiton.com/quotes/quote_artwork/8330/medium/20220527_friday_quote.jpg?1652392408,"I would rather walk with a friend in the dark, than alone in the light.",<Author:0x00007fbd21f563e8>
FRIENDSHIP,/inspirational-quotes/8036-good-friends-are-like-stars-you-dont-always,https://assets.passiton.com/quotes/quote_artwork/8036/medium/20220526_thursday_quote.jpg?1652392380,"Good friends are like stars. You don't always see them, but you know they're always there.",<Author:0x00007fbd21fb0870>
FRIENDSHIP,/inspirational-quotes/8331-try-to-be-a-rainbow-in-someones-cloud,https://assets.passiton.com/quotes/quote_artwork/8331/medium/20220525_wednesday_quote.jpg?1652392349,Try to be a rainbow in someone's cloud.,<Author:0x00007fbd2200fdc0>
FRIENDSHIP,/inspirational-quotes/7641-friends-are-medicine-for-a-wounded-heart-and,https://assets.passiton.com/quotes/quote_artwork/7641/medium/20220524_tuesday_quote.jpg?1652392319,Friends are medicine for a wounded heart and vitamins for a hopeful soul.,<Author:0x00007fbd22046cf8>
FRIENDSHIP,/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right,https://assets.passiton.com/quotes/quote_artwork/8192/medium/20220523_monday_quote.jpg?1652392295,Anything is possible when you have the right people there to support you.,<Author:0x00007fbd2207c150>
